Name,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Lough Avalla Farm Looped Walk,,-9.0640874,52.9448216,Clare,Corofin,Ireland,"Walking,Natural Landscape"
Durrow Leafy Loops - Leafy loop,,-7.39579761602658,52.8468523376508,Laois,,Ireland,"Walking,Natural Landscape"
Walking at the Castlecomer Discovery Park,353564440707,-7.202379,52.8072,Kilkenny,Castlecomer,Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Carlow Town Walk - Sli na Slainte,353599130411,-6.9294889,52.8352498,Carlow,,Ireland,"Walking,Historic Houses and Castle,Public Park,Nature and Wildlife"
Coolmelagh - Prospect Loop,,-6.58039065167167,52.68619665595,Wexford,Bunclody,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Castlemorris - Pheasant loop,,-7.27888154851484,52.4705016012607,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Lough Boora Sculpture Loop,353879904234,-7.72680199999999,53.220112,Offaly,Tullamore,Ireland,"Walking,Activity Operator,Public Sculpture"
Castlemorris Wood - Holly Loop,,-7.27840947972822,52.4706061720635,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
OGormans Lane Loop Walk,,-7.18228840808342,52.5923527730017,Kilkenny,Bennettsbridge,Ireland,"Walking,Natural Landscape"
Nore Valley Walk - (Thomastown to Inistioge Section),353567752111,-7.13344700555285,52.5199709525296,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Monicknew Trails,,-7.54632895409872,53.0759841249754,Laois,Clonaslee,Ireland,"Walking,Natural Landscape"
Portumna Forest Park - Rinmaher Walking Trail,,-8.2484955102783,53.083038345911,Galway,Portumna,Ireland,"Walking,Natural Landscape"
Molly Loop,,-6.18798426826174,54.0432735750473,Louth,Grange,Ireland,"Walking,Natural Landscape"
Avondale Forest Park - Centenary Trail,,-6.2265377338989,52.9164790018516,Wicklow,Rathdrum,Ireland,"Cycling,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Broadford Ashford Walking Trails - Killagholehane Way,,-8.972707,52.346003,Limerick,Broadford,Ireland,"Walking,Ruins,Historic Houses and Castle"
Sliabh Liag Pilgrims Path - Cosan an Oilithrigh,,-8.661148,54.641357,Donegal,Teelin,Ireland,"Walking,Natural Landscape"
Killaspugbrone Loop,,-8.60900710883186,54.2716526115869,Sligo,Strandhill,Ireland,"Walking,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Keel Uphill Downhill Loop,,-9.75639704597176,52.1763680812833,Kerry,Castlemaine,Ireland,"Walking,Natural Landscape"
Windgap Village Loop,+353(0)874186077,-7.39874181726611,52.4641415470614,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
Bearna Breac Loop,+353(0)874186077,-7.39869085529483,52.4641897546618,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
The Tinahely Loop,35386396893,-6.4555599840927,52.7906337976792,Wicklow,Tinahely,Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Tochar Daithi Ban,+353(0)9849888,-9.823505,54.024505,Mayo,Westport,Republic of Ireland,"Bird Watching,Nature and Wildlife,Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park"
Derrycassin Walks,+353(0)433342577,-7.53875165305779,53.8307603495165,Longford,,Republic of Ireland,"Walking,Natural Landscape"
Newcastle Woods,353433343509,-7.7261067,53.5621238,Longford,,Ireland,"Walking,Natural Landscape"
Ballinamuck Bog Loop,,-7.71748294931976,53.8668094562941,Longford,Ballinamuck,Ireland,"Walking,Natural Landscape"
The Cavan Way,353494378543,-8.01507229944411,54.1899060717684,Cavan,Dowra,Republic of Ireland,"Walking,Natural Landscape"
Tory Hill - Frochans Loop,,-7.17550685964235,52.3678781162157,Kilkenny,Mullinavat,Republic of Ireland,"Walking,Natural Landscape"
Cavan Burren Park Walks,353499526121,-7.87730349724676,54.2912772769848,Cavan,Blacklion,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape,Public Park,Nature and Wildlife"
The Suck Valley Way,353830698795,-8.26174457458819,53.5696520242896,Roscommon,Athleague,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Ruins,Historic Houses and Castle"
The East Clare Way,+353(0)656835912,-8.75882152363975,52.8684217484044,Clare,Tulla,Republic of Ireland,"Walking,Natural Landscape"
Ballyconnell Canal Loop,,-7.5831795308502,54.1161665453187,Cavan,Ballyconnell,Ireland,"Walking,Natural Landscape"
Cape Clear Gleann Loop,,-9.50026847744141,51.4417107717686,Cork,,Ireland,"Walking,Natural Landscape"
Sli arainn Mhor - Arranmore Island Loop,353749520533,-8.53629034834988,54.9963347391069,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
Tullahought Kilmacoliver Loop Walk,,-7.37310434813116,52.4225628373649,Kilkenny,,Republic of Ireland,"Walking,Natural Landscape"
Durrow Leafy Loops -Dunmore Woods Loop,,-7.39442432501095,52.8476817254982,Laois,,Ireland,"Walking,Natural Landscape"
Abbeyleix Loops - Killamuck Bog,,-7.35307920316802,52.9068305299692,Laois,Abbeyleix,Ireland,"Walking,Natural Landscape"
Carrowteige - Black Ditch Loop,,-9.98701605418876,54.2213826688354,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Carrowteige - Children of Lir Loop,,-9.8136380634661,54.3126117314066,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Clare Island - Knocknaveen Loop,,-9.9881419536732,53.7924554847732,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Inishbiggle - Gubnadoogha Loop Walk,,-9.90875510650971,53.9960145887544,Mayo,Ballycroy,Republic of Ireland,"Walking,Island,Offshore Island"
Achill Island - Dooagh Loop Walk,,-10.1242851467434,53.9729098377986,Mayo,,Republic of Ireland,"Walking,Natural Landscape"
Mulranny - Lookout Hill Loop,,-9.79020239645016,53.9040112024891,Mayo,Westport,Republic of Ireland,"Walking,Natural Landscape"
Grange Loops - Rooskey Loop,,-6.18867091376955,54.0428703926602,Louth,Grange,Ireland,"Walking,Natural Landscape"
Nire Valley Trails - Coumduala Looped Walk,+353(0)51875823,-7.63491881650384,52.2769571844086,Waterford,,Ireland,"Walking,Natural Landscape"
Curragh Chase - Glenisca Trail,35312011199,-8.8690727,52.5914043999999,Limerick,,Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Inishbiggle - Bulls Mouth Loop Walk,,-9.90078203395046,53.9951163669387,Mayo,,Republic of Ireland,"Walking,Island,Offshore Island"
Rinn Duin Castle Loop,+353(0)906630252,-8.00432573022647,53.544196661934,Roscommon,,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Ruins"
Cronins Yard Looped Walk,,-9.63345924843568,52.073673013566,Kerry,Beaufort,Republic of Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Emlagh Loop,,-10.2730897585937,51.8246811402223,Kerry,,Ireland,"Walking,Beach,Natural Landscape"
The Sligo Way,,-8.46535,54.2711,Sligo,,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Annaloughan Loop,+353(0)429352111,-6.18602350592071,54.0379000768116,Louth,Jenkinstown,Republic of Ireland,"Walking,Natural Landscape"
Glenbarrow Eco Walk,,-7.52521460473349,53.149038742129,Laois,,Ireland,"Walking,Natural Landscape"
Great Western Greenway - Castlebar to Turlough,,-9.2919368,53.8581124,Mayo,Castlebar,Ireland,"Walking,Natural Landscape"
Monaghan Greenway,,-6.96830819999999,54.2492434,Monaghan,,Ireland,"Walking,Natural Landscape"
Kilronan Castle Loop,,-8.1812497,54.0632659,Roscommon,,Ireland,"Walking,Natural Landscape"
Ardmore Cliff Walk,,-7.7151578,51.9487667999999,Waterford,Ardmore,Ireland,"Walking,Natural Landscape"
St. Kevins Way - Pilgrim Path,,-6.599053,53.0918211,Wicklow,Hollywood,Ireland,"Walking,Natural Landscape"
Blackwater Way - Avondhu,35318608800,-7.99510279999999,52.2770793999999,Tipperary,Clogheen,Ireland,"Walking,Natural Landscape"
Ballycastle Sralagagh Walk,,-9.3724643,54.2796698,Mayo,Ballycastle,Ireland,"Walking,Natural Landscape"
Slish Wood Forest Walk,,-8.4012546,54.2309113,Sligo,,Ireland,"Walking,Natural Landscape"
 Muckish - Lub Loch Achair,,-7.90946759999999,55.1233497,Donegal,Creeslough,Ireland,"Walking,Natural Landscape"
Benbulben Loop,,-8.47444439999999,54.3666667,Sligo,,Ireland,"Walking,Natural Landscape"
 Belleek Nature Trail,,-9.1550693,54.1149482,Mayo,Ballina,Ireland,"Walking,Natural Landscape"
Coole Park Seven Woods Trail,,-8.83696999999999,53.0885494,Galway,,Ireland,"Walking,Natural Landscape"
Dunmore Cave,+353(0)567767726,-7.24692094177248,52.7339678688002,Kilkenny,Ballyfoyle,Republic of Ireland,"Learning,Museums and Attraction,Cafe,Food and Drink,Tour"
Ballintubber Abbey,353949030934,-9.28275689999999,53.7567222,Mayo,Ballintubber,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Dunbrody Abbey and Visitor Centre,353862759149,-6.95523,52.282115,Wexford,Campile,Ireland,"Craft,Shopping,Walking,Historic Houses and Castle,Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Cafe,Food and Drink,Activity Operator,Tour"
Duncannon Fort Tour,35351389530,-6.9369773,52.2208891999999,Wexford,Duncannon,Ireland,"Photography,Learning,Historic Houses and Castle,Museums and Attraction,Tour"
Drogheda Museum Millmount,353419833097,-6.35025503802876,53.7117853993422,Louth,Drogheda,Republic of Ireland,"Craft,Shopping,Learning,Museums and Attraction,Artisan,Food and Drink,Restaurant,Cafe,Tour"
The National Garden Exhibition Centre - Arboretum Kilquade,35315313488,-6.08867339999999,53.1130485,Wicklow,Kilquade,Ireland,"Restaurant,Gardening,Nature and Wildlife,Gardens,Garden,Food and Drink,Food Shops,Shopping"
Newmills Corn And Flax Mills,353749125115,-7.8081954,54.9291026999999,Donegal,,Ireland,Museums and Attraction
Sligo Abbey,353719146406,-8.4704218,54.270668,Sligo,,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Tour"
Hyde Bridge Gallery,353719142693,-8.474933,54.272077,Sligo,Sligo Town,Republic of Ireland,"Craft,Shopping,Art Gallery"
Lismore Castle Gardens,3535854061,-7.93280849999999,52.1398962,Waterford,Lismore,Ireland,"Walking,Gardens,Garden,Cafe,Food and Drink"
Bantry House & Garden,3532750047,-9.46450649999999,51.6774722,Cork,Bantry,Ireland,"Historic Houses and Castle,Gardens,Garden,Cafe,Food and Drink,Local Produce,Restaurant,Tour"
Avondale House and Forest Park,35340446111,-6.2226009,52.9117801,Wicklow,,Ireland,"Historic Houses and Castle,Forest Park,Park and Forest Walk,Walking,Museums and Attraction,Cafe,Food and Drink"
South Mayo Family Research Centre,353949541214,-9.222428,53.623485,Mayo,Ballinrobe,Republic of Ireland,"Tracing Your Ancestors,Museums and Attraction"
Monaghan County Museum,3534782928,-6.9724846,54.2478562,Monaghan,,Ireland,"Historic Houses and Castle,Museums and Attraction,Tour"
Larchill Arcadian Gardens,35316287354,-6.65880149999999,53.4411682999999,Meath,,Ireland,"Historic Houses and Castle,Gardens,Garden,Tour"
Croagh Patrick,,-9.65979129999999,53.7599117,Mayo,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Natural Landscape"
Knock Museum,353949388100,-8.91715329999999,53.7900043,Mayo,Knock,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Cafe,Food and Drink"
Arklow Maritime Museum,353864460784,-6.1493991,52.7985048,Wicklow,Ferrybank,Ireland,Museums and Attraction
Michael J Quill Centre,353646685511,-9.46143,51.902656,Kerry,Kilgarvan,Republic of Ireland,Museums and Attraction
Donegal Railway Heritage Centre,353749722655,-8.10802239999999,54.656847,Donegal,Milltown,Ireland,"Transport,Activity Operator,Museums and Attraction,Tour,Coach,Road"
Garter Lane Art Gallery,+353(0)51855038,-7.116447,52.262574,Waterford,Waterford City,Republic of Ireland,"Learning,Movies,Cinema,Venue,Activity Operator,Art Gallery,Music"
Waterford County Museum,3535845960,-7.61940109999999,52.0886326,Waterford,Dungarvan,Ireland,"Museums and Attraction,Tour"
Carlow Castle,353599130411,-6.935935,52.8362564,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
Kilgarvan Motor Museum,353646685346,-9.43416399999999,51.889134,Kerry,,Ireland,"Museums and Attraction,Cafe,Food and Drink,Tour"
Pollardstown Fen,35345980483,-6.84579099999999,53.1835843,Kildare,,Ireland,"Agriculture,Nature and Wildlife,Walking,Natural Landscape"
Abbey Road Gardens,353872209026,-7.102184,52.264196,Waterford,Ferrybank,Republic of Ireland,"Gardens,Garden"
Sonairte The National Ecology Centre,353419827572,-6.257022,53.6780762,Meath,Laytown,Ireland,"Agriculture,Nature and Wildlife,Food and Drink,Restaurant,Gardening,Learning,Activity Operator,Natural Landscape,Cafe,Local Produce"
Slea Head Famine Cottages and Sheep Dog Trials,353877622617,-10.4120564,52.1054048,Kerry,Fahan,Ireland,"Agriculture,Nature and Wildlife,Tracing Your Ancestors,Historic Houses and Castle,Visitor Farm,Activity Operator"
Kilkenny Castle Parkland,353567704100,-7.2438746,52.6495898,Kilkenny,,Ireland,"Walking,Gardens,Garden,Cafe,Food and Drink"
The Donkey Sanctuary,3532248398,-8.7942201,52.2649887,Cork,Mallow,Ireland,"Visitor Farm,Cafe,Food and Drink,Tour"
Marl Bog,+353(0)61337322,-8.05861954314286,52.5503709500934,Tipperary,Dundrum,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Forest Park,Park and Forest Walk,Natural Landscape,Public Park"
Careys Castle,,-7.70723566061687,52.3584131841366,Tipperary,Clonmel,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Castle,Forest Park,Park and Forest Walk,Natural Landscape,Ruins"
Gleninchaquin Park,353876349282,-9.66063839246464,51.8019888784367,Kerry,Tuosist,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Activity Operator,Forest Park,Park and Forest Walk,Natural Landscape,Public Park,Tour"
St Marys Church,353567767726,-7.06471929999999,52.628901,Kilkenny,Gowran,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Hill of Tara,353469025903,-6.611649,53.5788114,Meath,,Ireland,"Photography,Learning,Walking,Museums and Attraction,Ruins,Historic Houses and Castle,Cafe,Food and Drink,Tour"
River Inny,35318842600,-7.32313105065918,53.6684318616526,Dublin,Swords,Republic of Ireland,"Fishing,Angling,River,Discovery Point"
Lisfannon,+353(0)749362600,-7.48165280946466,55.0963841510373,Donegal,Fahan,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Jerpoint Glass Studio,353567724350,-7.1967314,52.5185184,Kilkenny,Glenmore,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Kenmare Heritage Centre,353646641233,-9.584642,51.880807,Kerry,Kenmare,Republic of Ireland,Museums and Attraction
Isaac Butt Heritage Centre,353749133108,-7.9324749,54.8384012,Donegal,,Ireland,Museums and Attraction
Lough Melvin and River Drowes - Drowes Estuary,+353(0)719851435,-8.181053,54.497695,Donegal,Ballyshannon,Ireland,"Fishing,Angling,River,Discovery Point"
Loughcrew Historic Gardens,353498541356,-7.14370779999999,53.7344619,Meath,Oldcastle,Ireland,"Walking,Gardens,Garden,Cafe,Food and Drink"
West Cork Music,3532752788,-9.4489112,51.6804291,Cork,Bantry,Ireland,"Learning,Literary Ireland,Venue,Music"
St Brigids Cathedral & Round Tower,,-6.91137099999999,53.1579272,Kildare,,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Carlow Courthouse,,-6.93121208465572,52.8382111381112,Carlow,,Republic of Ireland,"Castle,Historic Houses and Castle"
Croppies Grave,,-6.9391607,52.8389539,Carlow,,Ireland,Public Sculpture
Duiske Abbey,,-6.9546547,52.5411102,Kilkenny,Graiguenamanagh,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Cappoquin House Gardens,3535854290,-7.8503399,52.1494507,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden,Historic Houses and Castle,Tour"
Newtown Castle,353657077200,-9.16938609999999,53.1033781999999,Clare,Newtown,Ireland,"Walking,Castle,Historic Houses and Castle"
Ballynacourty Gardens,35361396409,-8.935327,52.643399,Limerick,Ballysteen,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Desmond Hall,3536977408,-9.060708,52.450419,Limerick,Newcastle West,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Castle"
Stephen Bennett Studio Gallery,353877923205,-8.437291,54.78503,Donegal,Ardara,Ireland,"Craft,Shopping,Art Gallery"
Craggaunowen - The Living Past Experience,35361711222,-8.793649,52.81108,Clare,Kilmurry,Ireland,"Learning,Castle,Historic Houses and Castle,Museums and Attraction"
Carran Medieval Church,353656828366,-9.0760449,53.0376019,Clare,Carran,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Gleninagh Castle,,-9.205829,53.1377228,Clare,,Ireland,"Castle,Historic Houses and Castle"
Kilnaboy Medieval Church and Round Tower,353656828366,-9.079651,52.972126,Clare,Ennis,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Leamaneh Castle,,-9.1399531,52.987804,Clare,,Ireland,"Castle,Historic Houses and Castle"
Quin Abbey,35391844084,-8.86307,52.8191037,Clare,Quin,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Temple Cronan Early Christian Church,353656828366,-9.0609731,53.0461691999999,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Saint Cronans 10th Century Church Tuamgraney,35361921351,-8.5393666,52.8966945,Clare,Tuamgraney,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Carrigogunnell Castle,35361317522,-8.741821,52.646438,Limerick,Limerick City,Republic of Ireland,"Castle,Historic Houses and Castle"
Glenquin Castle,35361396255,-9.106741,52.3839378999999,Limerick,Glenquin,Ireland,"Castle,Historic Houses and Castle"
Roscrea Heritage Centre – Roscrea Castle and Damer House,35350521850,-7.7977979,52.9545928,Tipperary,,Ireland,"Photography,Learning,Castle,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
The Edmund Rice International Heritage Centre,35351874390,-7.1167957,52.2567373,Waterford,,Ireland,"Learning,Museums and Attraction,Tour"
Dromana Gate,3532496144,-7.86376252172181,52.1093223018503,Waterford,Cappoquin,Republic of Ireland,Historic Houses and Castle
Teach Ban Nua Artist Gallery,353894506085,-8.49480289999999,54.32611,Sligo,,Ireland,"Craft,Shopping,Art Gallery"
Cushendale Woollen Mills,353599724118,-6.9574638,52.5410159,Kilkenny,Graiguenamanagh,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Activity Operator,Historic Houses and Castle,Food Shops"
William Vincent Wallace Plaza,353761102020,-7.106534,52.2612096999999,Waterford,,Ireland,Public Sculpture
Ballitore Library & Quaker Museum,353598623344,-6.814924,53.009722,Kildare,Ballitore,Ireland,Museums and Attraction
Fintown Railway,353749546280,-8.120414,54.8676191,Donegal,,Ireland,"Transport,Activity Operator,Museums and Attraction,Coach,Road"
